Сountry,Product Name,Sum of sales,Profit After Shipping,Weighted Discount,Max Discount (Break-even),Discount Gap,Recommendation
Netherlands,"Smead Lockers, Blue",198,-145.51,50.00%,13.26%,36.74%,Reduce discount
Netherlands,"Stanley Pens, Blue",5,-0.39,50.00%,46.10%,3.90%,Adjust discount
Netherlands,"Wilson Jones Hole Reinforcements, Durable",9,-3.9000000000000004,50.00%,28.33%,21.67%,Reduce discount
New Zealand,"Belkin Numeric Keypad, Bluetooth",69,-4.92,40.00%,35.72%,4.28%,Adjust discount
New Zealand,"GlobeWeis Interoffice Envelope, Set of 50",115,-58.349999999999994,40.00%,9.56%,30.44%,Reduce discount
New Zealand,"Hewlett Wireless Fax, Laser",912,-426.55999999999995,40.00%,11.94%,28.06%,Reduce discount
New Zealand,"Hon Rocking Chair, Set of Two",159,-105.75,40.00%,0.09%,39.91%,Reduce discount
New Zealand,"SAFCO Chairmat, Black",69,-34.58,40.00%,9.93%,30.07%,Reduce discount
New Zealand,"SAFCO Rocking Chair, Red",162,-92.83,40.00%,5.62%,34.38%,Reduce discount
New Zealand,"Sharp Copy Machine, Color",285,-109.12,40.00%,17.03%,22.97%,Reduce discount
Nigeria,"Advantus Staples, 12 Pack",22,-47.09,70.00%,5.79%,64.21%,Reduce discount
Nigeria,"Ames Mailers, with clear poly window",12,-8.6,70.00%,48.50%,21.50%,Reduce discount
Nigeria,"Apple Signal Booster, Cordless",42,-65.06,70.00%,23.53%,46.47%,Reduce discount
Nigeria,"Avery Hole Reinforcements, Clear",1,-2.47,70.00%,-4.10%,74.10%,Increase price
Nigeria,"Avery Index Tab, Economy",5,-5.36,70.00%,37.84%,32.16%,Reduce discount
Nigeria,"Avery Removable Labels, Alphabetical",13,-22.27,70.00%,18.61%,51.39%,Reduce discount
Nigeria,"BIC Sketch Pad, Water Color",16,-29.79,70.00%,14.14%,55.86%,Reduce discount
Nigeria,"Binney & Smith Pens, Fluorescent",4,-9.28,70.00%,0.40%,69.60%,Reduce discount
Nigeria,"Canon Fax Machine, Laser",191,-401.28,70.00%,6.97%,63.03%,Reduce discount
Nigeria,"Eaton Memo Slips, Multicolor",18,-34.58,70.00%,12.37%,57.63%,Reduce discount
Nigeria,"Enermax Keyboard, Programmable",25,-26.3,70.00%,38.44%,31.56%,Reduce discount
Nigeria,"Fellowes Box, Blue",24,-46.36,70.00%,12.05%,57.95%,Reduce discount
Nigeria,"Fellowes Folders, Wire Frame",15,-23.73,70.00%,22.54%,47.46%,Reduce discount
Nigeria,"Fellowes Trays, Industrial",17,-26.889999999999997,70.00%,22.55%,47.45%,Reduce discount
Nigeria,"Green Bar Note Cards, Premium",37,-79.76,70.00%,5.33%,64.67%,Reduce discount
Nigeria,"Harbour Creations Rocking Chair, Adjustable",45,-60.29,70.00%,29.81%,40.19%,Reduce discount
Nigeria,"Hon Color Coded Labels, Alphabetical",4,-9.2,70.00%,1.00%,69.00%,Reduce discount
Nigeria,"Ibico Index Tab, Clear",5,-6.55,70.00%,30.70%,39.30%,Reduce discount
Nigeria,"Kleencut Ruler, Easy Grip",5,-10.76,70.00%,5.44%,64.56%,Reduce discount
Nigeria,"Panasonic Phone, Red",148,-200.79000000000002,70.00%,29.30%,40.70%,Reduce discount
Nigeria,"Sanford Markers, Fluorescent",15,-15.77,70.00%,38.46%,31.54%,Reduce discount
Nigeria,"Sanford Pens, Easy-Erase",7,-11.049999999999999,70.00%,22.64%,47.36%,Reduce discount
Nigeria,"Wilson Jones Binder Covers, Economy",20,-30.11,70.00%,24.83%,45.17%,Reduce discount
Panama,"Hamilton Beach Refrigerator, Silver",401,-1.3599999999999994,40.00%,39.80%,0.20%,Adjust discount
Panama,"Memorex Memory Card, USB",82,-25.35,40.00%,21.45%,18.55%,Reduce discount
Panama,"Wilson Jones Hole Reinforcements, Clear",10,-1.79,40.00%,29.26%,10.74%,Reduce discount
Philippines,"BIC Sketch Pad, Fluorescent",27,-7.7,45.00%,29.31%,15.69%,Reduce discount
Philippines,"Chromcraft Round Table, Adjustable Height",211,-91.72,55.00%,35.44%,19.56%,Reduce discount
Philippines,"Fellowes Trays, Blue",158,-13.06,45.00%,40.45%,4.55%,Adjust discount
Philippines,"Green Bar Memo Slips, Premium",9,-2.41,45.00%,30.27%,14.73%,Reduce discount
Philippines,"Logitech Router, Programmable",274,-87.03,45.00%,27.53%,17.47%,Reduce discount
Philippines,"Panasonic Card Printer, White",388,-0.39000000000000057,25.00%,24.92%,0.08%,Adjust discount
Philippines,"Panasonic Phone, Wireless",445,-183.68,25.00%,-5.96%,30.96%,Increase price
Philippines,"Sharp Wireless Fax, Color",697,-383.26,35.00%,-0.74%,35.74%,Increase price
Philippines,"Smead Trays, Blue",80,-3.6899999999999995,45.00%,42.46%,2.54%,Adjust discount
Philippines,"Stockwell Push Pins, 12 Pack",52,-0.96,45.00%,43.98%,1.02%,Adjust discount
Philippines,"Stockwell Staples, Metal",6,-0.25,45.00%,42.71%,2.29%,Adjust discount
Philippines,"Tenex Door Stop, Black",99,-33.45,25.00%,-0.34%,25.34%,Increase price
Philippines,"Tenex Lockers, Industrial",338,-156.55,45.00%,19.53%,25.47%,Reduce discount
Portugal,"Hewlett Wireless Fax, Laser",570,-250.76000000000002,50.00%,28.00%,22.00%,Reduce discount
South Korea,"Acco Binding Machine, Recycled",26,-13.11,50.00%,24.79%,25.21%,Reduce discount
South Korea,"Eldon File Cart, Single Width",257,-219.12,50.00%,7.37%,42.63%,Reduce discount
South Korea,"Lesro Coffee Table, Fully Assembled",203,-316.16,80.00%,48.85%,31.15%,Reduce discount
South Korea,"Okidata Calculator, White",25,-22.279999999999998,50.00%,5.44%,44.56%,Reduce discount
Spain,"Bevis Training Table, with Bottom Storage",268,-363.23,60.00%,5.79%,54.21%,Reduce discount
Spain,"SAFCO Steel Folding Chair, Black",266,-0.4299999999999997,20.00%,19.87%,0.13%,Adjust discount
Sweden,"Boston Pencil Sharpener, Easy-Erase",91,-68.28999999999999,50.00%,12.48%,37.52%,Reduce discount
Sweden,"Enermax Note Cards, Premium",45,-30.88,50.00%,15.69%,34.31%,Reduce discount
Sweden,"Sanford Pens, Fluorescent",31,-15.81,50.00%,24.50%,25.50%,Reduce discount
Thailand,"Avery Color Coded Labels, 5000 Label Set",44,-28.12,47.00%,13.13%,33.87%,Reduce discount
Thailand,"Novimex Executive Leather Armchair, Black",334,-156.24,27.00%,-7.15%,34.15%,Increase price
Thailand,"Sanford Sketch Pad, Water Color",52,-26.4,47.00%,20.09%,26.91%,Reduce discount
Thailand,"Smead File Cart, Blue",135,-53.64,47.00%,25.94%,21.06%,Reduce discount
Thailand,"Stanley Canvas, Blue",105,-61.010000000000005,47.00%,16.20%,30.80%,Reduce discount
Thailand,"Stockwell Staples, Assorted Sizes",12,-6.72,47.00%,17.32%,29.68%,Reduce discount
Turkey,"Acme Trimmer, Easy Grip",74,-74.8,60.00%,19.57%,40.43%,Reduce discount
Turkey,"Advantus Clock, Durable",77,-107.05,60.00%,4.39%,55.61%,Reduce discount
Turkey,"Advantus Light Bulb, Black",8,-3.17,60.00%,44.15%,15.85%,Reduce discount
Turkey,"Fellowes File Cart, Blue",110,-66.5,60.00%,35.82%,24.18%,Reduce discount
Turkey,"Hamilton Beach Blender, White",115,-80.15,60.00%,32.12%,27.88%,Reduce discount
Turkey,"Harbour Creations Chairmat, Set of Two",59,-74.61,60.00%,9.42%,50.58%,Reduce discount
Turkey,"Hon Color Coded Labels, Alphabetical",5,-7.68,60.00%,-1.44%,61.44%,Increase price
Turkey,"Novimex Steel Folding Chair, Adjustable",34,-42.059999999999995,60.00%,10.52%,49.48%,Reduce discount
Turkey,"OIC Clamps, 12 Pack",15,-4.779999999999999,60.00%,47.25%,12.75%,Reduce discount
Turkey,"Safco Floating Shelf Set, Metal",157,-130.17,60.00%,26.84%,33.16%,Reduce discount
Turkey,"Smead Lockers, Blue",79,-91.17,60.00%,13.84%,46.16%,Reduce discount
Turkey,"Smead Lockers, Industrial",318,-274.57,60.00%,25.46%,34.54%,Reduce discount
Turkey,"Smead Round Labels, Alphabetical",3,-2.58,60.00%,25.60%,34.40%,Reduce discount
Turkey,"Smead Shelving, Single Width",20,-9.58,60.00%,40.84%,19.16%,Reduce discount
Turkey,"Stanley Canvas, Blue",79,-87.60000000000001,60.00%,15.65%,44.35%,Reduce discount
Turkey,"Xerox Message Books, Premium",16,-7,60.00%,42.50%,17.50%,Reduce discount
Uganda,"Cardinal Binder Covers, Clear",3,-5.4399999999999995,70.00%,15.60%,54.40%,Reduce discount
United Kingdom,"Boston Markers, Easy-Erase",27,-24.009999999999998,50.00%,5.54%,44.46%,Reduce discount
United Kingdom,"Eldon Folders, Single Width",17,-1.9500000000000002,50.00%,44.26%,5.74%,Adjust discount
United Kingdom,"Fellowes File Cart, Blue",206,-55.92,50.00%,36.43%,13.57%,Reduce discount
United Kingdom,"Green Bar Note Cards, Multicolor",34,-13.46,50.00%,30.21%,19.79%,Reduce discount
United States,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10,-18.88,80.00%,42.24%,37.76%,Reduce discount
United States,AT&T 841000 Phone,124,-57.17,40.00%,12.34%,27.66%,Reduce discount
United States,"Avery Flip-Chart Easel Binder, Black",9,-15.28,80.00%,46.04%,33.96%,Reduce discount
United States,Avery Metallic Poly Binders,3,-2.79,70.00%,42.10%,27.90%,Reduce discount
United States,Balt Split Level Computer Training Table,333,-40.08,20.00%,10.37%,9.63%,Adjust discount
United States,DAX Black Cherry Wood-Tone Poster Frame,127,-7.799999999999997,20.00%,15.09%,4.91%,Adjust discount
United States,GBC DocuBind TL200 Manual Binding Machine,67,-54.52,70.00%,45.59%,24.41%,Reduce discount
United States,GBC Linen Binding Covers,19,-18.89,70.00%,40.17%,29.83%,Reduce discount
United States,GBC Standard Plastic Binding Systems Combs,4,-6.04,80.00%,49.80%,30.20%,Reduce discount
United States,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",49,-27.08,52.65%,26.49%,26.17%,Reduce discount
United States,"Global Geo Office Task Chair, Gray",130,-27.549999999999997,20.00%,3.05%,16.95%,Reduce discount
United States,"Howard Miller 14-1/2 Diameter Chrome Round Wall Clock""""",77,-60.4,60.00%,28.62%,31.38%,Reduce discount
United States,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181,-350.28000000000003,70.00%,11.94%,58.06%,Reduce discount
United States,"O'Sullivan Elevations Bookcase, Cherry Finish",334,-36.51,15.00%,5.71%,9.29%,Adjust discount
United States,Round Specialty Laser Printer Labels,30,-0.019999999999999574,20.00%,19.95%,0.05%,Adjust discount
United States,SAFCO Boltless Steel Shelving,273,-78.36,20.00%,-2.96%,22.96%,Increase price
United States,Sauder Cornerstone Collection Library,62,-64.25,50.00%,-1.81%,51.81%,Increase price
United States,"Sauder Facets Collection Library, Sky Alder Finish",291,-51.22,15.00%,0.04%,14.96%,Reduce discount
United States,Surelock Post Binders,18,-13.88,70.00%,46.87%,23.13%,Reduce discount
Venezuela,"Elite Ruler, Steel",26,-10.2,40.00%,16.46%,23.54%,Reduce discount
Venezuela,"Hon Conference Table, Adjustable Height",369,-609.9,70.00%,20.41%,49.59%,Reduce discount
Venezuela,"Sharp Wireless Fax, Digital",425,-305.51,40.00%,-3.13%,43.13%,Increase price
Vietnam,"Avery Index Tab, Clear",10,-0.18,17.00%,15.51%,1.49%,Adjust discount
Vietnam,"Belkin Numeric Keypad, USB",177,-173.77,47.00%,-5.03%,52.03%,Increase price
Zimbabwe,"Advantus Light Bulb, Duo Pack",12,-21.53,70.00%,16.17%,53.83%,Reduce discount
Zimbabwe,"Fiskars Box Cutter, Easy Grip",67,-61.72,70.00%,42.36%,27.64%,Reduce discount
Zimbabwe,"Hewlett Ink, Digital",445,-387.62,70.00%,43.87%,26.13%,Reduce discount
Zimbabwe,"Rogers File Cart, Single Width",85,-130.27,70.00%,24.02%,45.98%,Reduce discount
